Province/State,Country/Region,Lat,Long,first_occurrence
,Trinidad and Tobago,10.6918,-61.2225,3/14/20
,Tunisia,33.886917,9.537499,3/4/20
,Turkey,38.9637,35.2433,3/11/20
,Tuvalu,-7.1095,177.6493,5/23/22
,US,40.0,-100.0,1/22/20
,Uganda,1.373333,32.290275,3/21/20
,Ukraine,48.3794,31.1656,3/3/20
,United Arab Emirates,23.424076,53.847818,1/29/20
Anguilla,United Kingdom,18.2206,-63.0686,3/28/20
Bermuda,United Kingdom,32.3078,-64.7505,3/19/20
British Virgin Islands,United Kingdom,18.4207,-64.64,3/28/20
Cayman Islands,United Kingdom,19.3133,-81.2546,3/13/20
Channel Islands,United Kingdom,49.3723,-2.3644,
Falkland Islands (Malvinas),United Kingdom,-51.7963,-59.5236,4/4/20
Gibraltar,United Kingdom,36.1408,-5.3536,3/4/20
Guernsey,United Kingdom,49.448196,-2.58949,3/22/20
Isle of Man,United Kingdom,54.2361,-4.5481,3/20/20
Jersey,United Kingdom,49.2138,-2.1358,3/22/20
Montserrat,United Kingdom,16.742498,-62.187366,3/18/20
Pitcairn Islands,United Kingdom,-24.3768,-128.3242,7/20/22
"Saint Helena, Ascension and Tristan da Cunha",United Kingdom,-7.9467,-14.3559,3/18/20
Turks and Caicos Islands,United Kingdom,21.694,-71.7979,3/28/20
,United Kingdom,55.3781,-3.436,1/31/20
,Uruguay,-32.5228,-55.7658,3/13/20
,Uzbekistan,41.377491,64.585262,3/15/20
,Vanuatu,-15.3767,166.9592,11/10/20
,Venezuela,6.4238,-66.5897,3/14/20
,Vietnam,14.058324,108.277199,1/23/20
,West Bank and Gaza,31.9522,35.2332,3/5/20
,Winter Olympics 2022,39.9042,116.4074,1/23/22
,Yemen,15.552727,48.516388,4/10/20
,Zambia,-13.133897,27.849332,3/18/20
,Zimbabwe,-19.015438,29.154857,3/20/20
