Province/State,Country/Region,Lat,Long,first_occurrence
British Virgin Islands,United Kingdom,18.4207,-64.64,2020-03-28 00:00:00
,MS Zaandam,0.0,0.0,2020-03-28 00:00:00
Anguilla,United Kingdom,18.2206,-63.0686,2020-03-28 00:00:00
,Botswana,-22.3285,24.6849,2020-03-30 00:00:00
,Burundi,-3.3731,29.9189,2020-03-31 00:00:00
Unknown,China,,,2020-03-31 00:00:00
,Sierra Leone,8.460555,-11.779889,2020-03-31 00:00:00
,Malawi,-13.2543,34.3015,2020-04-02 00:00:00
"Bonaire, Sint Eustatius and Saba",Netherlands,12.1784,-68.2385,2020-04-02 00:00:00
Falkland Islands (Malvinas),United Kingdom,-51.7963,-59.5236,2020-04-04 00:00:00
,South Sudan,6.877,31.307,2020-04-05 00:00:00
Saint Pierre and Miquelon,France,46.8852,-56.3159,2020-04-05 00:00:00
,Sao Tome and Principe,0.1864,6.6131,2020-04-06 00:00:00
,Yemen,15.552727,48.516388,2020-04-10 00:00:00
,Comoros,-11.6455,43.3333,2020-04-30 00:00:00
,Tajikistan,38.861,71.2761,2020-05-01 00:00:00
Diamond Princess,Canada,0.0,0.0,2020-05-01 00:00:00
,Lesotho,-29.61,28.2336,2020-05-13 00:00:00
,Solomon Islands,-9.6457,160.1562,2020-10-12 00:00:00
Wallis and Futuna,France,-14.2938,-178.1165,2020-10-19 00:00:00
,Marshall Islands,7.1315,171.1845,2020-10-28 00:00:00
Nunavut,Canada,70.2998,-83.1076,2020-11-06 00:00:00
,Vanuatu,-15.3767,166.9592,2020-11-10 00:00:00
,Samoa,-13.759,-172.1046,2020-11-18 00:00:00
Repatriated Travellers,Canada,,,2020-11-24 00:00:00
,Micronesia,7.4256,150.5508,2021-01-21 00:00:00
,Kiribati,-3.3704,-168.734,2021-05-18 00:00:00
Cook Islands,New Zealand,-21.2367,-159.7777,2021-05-21 00:00:00
,Summer Olympics 2020,35.6491,139.7737,2021-06-19 00:00:00
,Palau,7.515,134.5825,2021-08-22 00:00:00
,Tonga,-21.179,-175.1982,2021-10-29 00:00:00
,Antarctica,-71.9499,23.347,2021-12-14 00:00:00
,Winter Olympics 2022,39.9042,116.4074,2022-01-23 00:00:00
Niue,New Zealand,-19.0544,-169.8672,2022-03-10 00:00:00
,Nauru,-0.5228,166.9315,2022-04-04 00:00:00
,"Korea, North",40.3399,127.5101,2022-05-14 00:00:00
,Tuvalu,-7.1095,177.6493,2022-05-23 00:00:00
Pitcairn Islands,United Kingdom,-24.3768,-128.3242,2022-07-20 00:00:00
Channel Islands,United Kingdom,49.3723,-2.3644,
